problem_idx,ground_truth,n_samples,n_correct,accuracy
156,1400,32,10,0.3125
157,80,32,0,0.0
158,34,32,29,0.90625
159,15,32,3,0.09375
160,16,32,31,0.96875
161,32,32,31,0.96875
162,92,32,0,0.0
163,50,32,1,0.03125
164,15,32,7,0.21875
165,77,32,20,0.625
166,5,32,30,0.9375
167,16,32,28,0.875
168,18,32,29,0.90625
169,120,32,32,1.0
170,150,32,30,0.9375
171,1210,32,31,0.96875
172,51,32,20,0.625
173,18000,32,2,0.0625
174,95,32,13,0.40625
175,15,32,7,0.21875
176,100,32,2,0.0625
177,350,32,2,0.0625
178,122,32,32,1.0
179,130,32,32,1.0
180,20,32,30,0.9375
181,160,32,20,0.625
182,23,32,16,0.5
183,2,32,0,0.0
184,25,32,5,0.15625
185,30,32,32,1.0
186,5,32,0,0.0
187,106,32,2,0.0625
188,50,32,28,0.875
189,34,32,9,0.28125
190,360,32,32,1.0
191,5,32,25,0.78125
192,91,32,10,0.3125
193,24,32,6,0.1875
194,10,32,28,0.875
195,12,32,8,0.25
196,120,32,28,0.875
197,6277,32,13,0.40625
198,320,32,15,0.46875
199,7500,32,1,0.03125
200,55,32,30,0.9375
201,114200,32,1,0.03125
202,100,32,32,1.0
203,31,32,25,0.78125
204,98,32,28,0.875
205,98,32,0,0.0
206,860,32,21,0.65625
207,2600,32,30,0.9375
208,76,32,29,0.90625
209,145,32,13,0.40625
210,10,32,6,0.1875
211,4,32,32,1.0
212,5,32,28,0.875
213,250,32,12,0.375
214,8,32,0,0.0
215,44,32,31,0.96875
216,220,32,8,0.25
217,15,32,26,0.8125
218,45,32,19,0.59375
219,54,32,11,0.34375
220,70,32,32,1.0
221,90,32,28,0.875
222,140,32,29,0.90625
223,20000,32,5,0.15625
224,180,32,32,1.0
225,9,32,29,0.90625
226,33,32,20,0.625
227,9,32,0,0.0
228,1,32,32,1.0
229,21,32,13,0.40625
230,276000,32,0,0.0
231,50,32,26,0.8125
232,75,32,26,0.8125
233,12,32,17,0.53125
234,21,32,3,0.09375
235,10,32,32,1.0
236,31,32,0,0.0
237,90,32,31,0.96875
238,68,32,31,0.96875
239,280,32,28,0.875
240,21,32,28,0.875
241,6,32,10,0.3125
242,3,32,26,0.8125
243,250,32,12,0.375
244,20,32,10,0.3125
245,7,32,0,0.0
246,27000,32,2,0.0625
247,32,32,0,0.0
248,300,32,24,0.75
249,5600,32,2,0.0625
250,17,32,5,0.15625
251,70,32,29,0.90625
252,73,32,16,0.5
253,18,32,31,0.96875
254,84,32,31,0.96875
255,192,32,1,0.03125
256,45,32,14,0.4375
257,5600,32,5,0.15625
258,6,32,2,0.0625
259,168,32,0,0.0
260,11,32,15,0.46875
261,62,32,6,0.1875
262,270,32,32,1.0
263,8,32,26,0.8125
264,400,32,31,0.96875
265,9500,32,1,0.03125
266,118000,32,2,0.0625
267,91,32,0,0.0
268,1375,32,24,0.75
269,4,32,29,0.90625
270,762,32,32,1.0
271,20,32,22,0.6875
272,5,32,0,0.0
273,315,32,3,0.09375
274,3200,32,24,0.75
275,138,32,7,0.21875
276,9,32,18,0.5625
277,4,32,31,0.96875
278,40,32,25,0.78125
279,6,32,29,0.90625
280,7,32,21,0.65625
281,2450,32,18,0.5625
282,195,32,11,0.34375
283,68,32,13,0.40625
284,360,32,6,0.1875
285,21,32,32,1.0
286,90,32,31,0.96875
287,8,32,20,0.625
288,3,32,21,0.65625
289,16,32,30,0.9375
290,390,32,31,0.96875
291,2,32,32,1.0
292,75,32,16,0.5
293,83,32,11,0.34375
294,3,32,23,0.71875
295,370,32,27,0.84375
296,3,32,19,0.59375
297,55,32,7,0.21875
298,500,32,0,0.0
299,31800,32,1,0.03125
300,78,32,31,0.96875
301,8,32,0,0.0
302,15,32,24,0.75
303,1300,32,0,0.0
304,3200,32,0,0.0
305,4,32,32,1.0
306,10,32,13,0.40625
307,16,32,0,0.0
308,6,32,18,0.5625
309,8,32,23,0.71875
310,2050,32,1,0.03125
311,91,32,31,0.96875
312,32,32,29,0.90625
313,120000,32,2,0.0625
314,30,32,32,1.0
315,14,32,3,0.09375
316,156,32,24,0.75
317,12,32,17,0.53125
318,123,32,28,0.875
319,15,32,21,0.65625
320,8,32,2,0.0625
321,1,32,21,0.65625
322,9,32,0,0.0
323,75,32,8,0.25
324,14,32,3,0.09375
325,224000,32,0,0.0
326,14,32,10,0.3125
327,31,32,24,0.75
328,2,32,27,0.84375
329,14,32,30,0.9375
330,31,32,1,0.03125
331,8400,32,0,0.0
332,44,32,29,0.90625
333,100,32,25,0.78125
334,6,32,31,0.96875
335,310,32,32,1.0
336,72,32,16,0.5
337,1,32,26,0.8125
338,60,32,29,0.90625
339,160,32,20,0.625
340,4,32,12,0.375
341,260,32,5,0.15625
342,87,32,4,0.125
343,180000,32,7,0.21875
344,2,32,26,0.8125
345,310,32,32,1.0
346,9,32,26,0.8125
347,36,32,25,0.78125
348,10,32,25,0.78125
349,2640,32,30,0.9375
350,8,32,2,0.0625
351,10,32,32,1.0
352,21,32,3,0.09375
353,20,32,8,0.25
354,45,32,9,0.28125
355,34,32,26,0.8125
356,21,32,25,0.78125
357,2,32,0,0.0
358,20,32,17,0.53125
359,4,32,6,0.1875
360,25,32,32,1.0
361,20,32,0,0.0
362,23,32,26,0.8125
363,6,32,7,0.21875
364,49,32,23,0.71875
365,18,32,30,0.9375
366,9,32,32,1.0
367,19,32,4,0.125
368,18,32,0,0.0
369,1198,32,2,0.0625
370,320,32,30,0.9375
371,50,32,5,0.15625
372,5,32,30,0.9375
373,240000,32,5,0.15625
374,45,32,19,0.59375
375,48,32,30,0.9375
376,15,32,28,0.875
377,50,32,18,0.5625
378,15,32,28,0.875
379,21,32,32,1.0
380,803,32,0,0.0
381,67,32,8,0.25
382,350,32,23,0.71875
383,2,32,1,0.03125
384,32,32,32,1.0
385,16,32,8,0.25
386,80,32,24,0.75
387,36,32,32,1.0
388,88,32,32,1.0
389,6,32,2,0.0625
390,12,32,30,0.9375
391,15,32,31,0.96875
392,34,32,0,0.0
393,20,32,29,0.90625
394,92,32,3,0.09375
395,38,32,7,0.21875
396,3,32,25,0.78125
397,25,32,28,0.875
398,168,32,31,0.96875
399,12,32,30,0.9375
400,48,32,31,0.96875
401,14400,32,0,0.0
402,4,32,7,0.21875
403,81,32,0,0.0
404,22,32,0,0.0
405,50,32,17,0.53125
406,200,32,0,0.0
407,2000,32,4,0.125
408,20,32,0,0.0
409,168000,32,0,0.0
410,3,32,1,0.03125
411,1110,32,25,0.78125
412,5,32,32,1.0
413,25,32,1,0.03125
414,56,32,21,0.65625
415,350,32,7,0.21875
416,56,32,28,0.875
417,3140,32,0,0.0
418,40,32,32,1.0
419,3000,32,0,0.0
420,17000,32,3,0.09375
421,12,32,28,0.875
422,284,32,0,0.0
423,8,32,0,0.0
424,570,32,30,0.9375
425,150,32,0,0.0
426,11,32,29,0.90625
427,150,32,0,0.0
428,26,32,0,0.0
429,13,32,31,0.96875
430,132,32,0,0.0
431,1,32,30,0.9375
432,30,32,29,0.90625
433,6,32,31,0.96875
434,5,32,8,0.25
435,5,32,32,1.0
436,15,32,21,0.65625
437,7,32,19,0.59375
438,2,32,2,0.0625
439,17,32,0,0.0
440,98,32,32,1.0
441,80,32,29,0.90625
442,49,32,23,0.71875
443,59,32,0,0.0
444,20,32,32,1.0
445,6,32,26,0.8125
446,2,32,31,0.96875
447,5,32,32,1.0
448,539,32,22,0.6875
449,112,32,32,1.0
450,4,32,2,0.0625
451,11050,32,12,0.375
452,50,32,32,1.0
453,6400,32,2,0.0625
454,150,32,0,0.0
455,1920,32,29,0.90625
456,78,32,27,0.84375
457,45,32,16,0.5
458,35,32,28,0.875
459,2,32,11,0.34375
460,84,32,32,1.0
461,9,32,32,1.0
462,71,32,27,0.84375
463,18,32,0,0.0
464,6,32,20,0.625
465,30,32,29,0.90625
466,1,32,11,0.34375
467,1200,32,19,0.59375
468,120,32,20,0.625
469,4,32,26,0.8125
470,3,32,30,0.9375
471,80,32,20,0.625
472,6,32,28,0.875
473,10,32,32,1.0
474,80,32,31,0.96875
475,20,32,24,0.75
476,5,32,32,1.0
477,20,32,16,0.5
478,621,32,10,0.3125
479,15400,32,0,0.0
480,11,32,32,1.0
481,84,32,32,1.0
482,26,32,31,0.96875
483,40,32,32,1.0
484,240,32,31,0.96875
485,220,32,32,1.0
486,6,32,27,0.84375
487,4,32,28,0.875
488,6,32,31,0.96875
489,-10,32,28,0.875
490,4,32,28,0.875
491,16,32,30,0.9375
492,32,32,32,1.0
493,25,32,0,0.0
494,21,32,0,0.0
495,200,32,28,0.875
496,38,32,31,0.96875
497,112,32,6,0.1875
498,40,32,30,0.9375
499,10,32,20,0.625
500,16,32,16,0.5
501,273,32,25,0.78125
502,26,32,32,1.0
503,18,32,31,0.96875
504,2,32,11,0.34375
505,1600,32,0,0.0
506,144,32,12,0.375
507,2,32,8,0.25
508,120,32,23,0.71875
509,4,32,27,0.84375
510,525,32,0,0.0
511,110,32,32,1.0
512,120,32,31,0.96875
513,300,32,32,1.0
514,90000,32,1,0.03125
515,160,32,4,0.125
516,375,32,31,0.96875
517,18,32,24,0.75
518,32,32,31,0.96875
519,280,32,32,1.0
520,63,32,19,0.59375
521,39,32,18,0.5625
522,29,32,27,0.84375
523,74,32,3,0.09375
524,9,32,10,0.3125
525,12,32,0,0.0
526,21,32,2,0.0625
527,48,32,5,0.15625
528,172,32,10,0.3125
529,11,32,3,0.09375
530,36,32,0,0.0
531,66,32,3,0.09375
532,25,32,4,0.125
533,300,32,22,0.6875
534,300,32,2,0.0625
535,16,32,32,1.0
536,8,32,31,0.96875
537,188,32,28,0.875
538,18,32,25,0.78125
539,35,32,2,0.0625
540,39,32,4,0.125
541,50,32,1,0.03125
542,7,32,1,0.03125
543,6,32,32,1.0
544,80,32,30,0.9375
545,30,32,31,0.96875
546,130,32,5,0.15625
547,81,32,24,0.75
548,100,32,18,0.5625
549,398,32,29,0.90625
550,27,32,0,0.0
551,17,32,26,0.8125
552,450,32,8,0.25
553,92,32,28,0.875
554,54,32,19,0.59375
555,2,32,31,0.96875
556,160,32,30,0.9375
557,70,32,20,0.625
558,3,32,29,0.90625
559,16,32,1,0.03125
560,45,32,31,0.96875
561,180,32,32,1.0
562,82,32,2,0.0625
563,12,32,10,0.3125
564,240,32,1,0.03125
565,5,32,16,0.5
566,10,32,23,0.71875
567,9,32,2,0.0625
568,175,32,29,0.90625
569,21,32,32,1.0
570,23,32,0,0.0
571,308,32,31,0.96875
572,100,32,21,0.65625
573,600,32,28,0.875
574,37,32,1,0.03125
575,36,32,12,0.375
576,11232,32,0,0.0
577,40,32,0,0.0
578,48,32,21,0.65625
579,7,32,29,0.90625
580,500,32,1,0.03125
581,215,32,31,0.96875
582,129200,32,4,0.125
583,120,32,8,0.25
584,2,32,4,0.125
585,40,32,27,0.84375
586,800,32,27,0.84375
587,30,32,4,0.125
588,52,32,27,0.84375
589,15,32,1,0.03125
590,319,32,0,0.0
591,220,32,32,1.0
592,1,32,30,0.9375
593,3,32,9,0.28125
594,42,32,30,0.9375
595,13,32,29,0.90625
596,260,32,26,0.8125
597,90,32,6,0.1875
598,69,32,26,0.8125
599,48,32,30,0.9375
600,10,32,32,1.0
601,104,32,1,0.03125
602,5,32,28,0.875
603,1800,32,0,0.0
604,12,32,31,0.96875
605,42,32,22,0.6875
606,6,32,0,0.0
607,10,32,0,0.0
608,8,32,0,0.0
609,7,32,30,0.9375
610,65960,32,1,0.03125
611,1450000,32,0,0.0
612,30,32,32,1.0
613,93000,32,4,0.125
614,312,32,28,0.875
615,33,32,1,0.03125
616,10,32,30,0.9375
617,5,32,31,0.96875
618,36,32,29,0.90625
619,76,32,31,0.96875
620,1509,32,7,0.21875
621,3000,32,23,0.71875
622,7,32,3,0.09375
623,8,32,24,0.75
624,85,32,31,0.96875
625,160,32,31,0.96875
626,72,32,25,0.78125
627,54,32,23,0.71875
628,4,32,29,0.90625
629,17500,32,0,0.0
630,10,32,23,0.71875
631,4800,32,18,0.5625
632,45,32,32,1.0
633,5,32,6,0.1875
634,14,32,29,0.90625
635,4,32,0,0.0
636,1050,32,17,0.53125
637,17,32,19,0.59375
638,12,32,0,0.0
639,216,32,32,1.0
640,43500,32,10,0.3125
641,262500,32,0,0.0
642,10800,32,6,0.1875
643,840,32,27,0.84375
644,29,32,0,0.0
645,48,32,21,0.65625
646,79,32,31,0.96875
647,10,32,32,1.0
648,54,32,14,0.4375
649,162000,32,1,0.03125
650,142,32,10,0.3125
651,2100,32,6,0.1875
652,75,32,1,0.03125
653,80,32,6,0.1875
654,2,32,22,0.6875
655,10,32,32,1.0
656,10,32,17,0.53125
657,330000,32,0,0.0
658,120,32,32,1.0
659,3,32,25,0.78125
660,15,32,25,0.78125
661,44,32,26,0.8125
662,7,32,2,0.0625
663,193,32,23,0.71875
664,32,32,28,0.875
665,360,32,22,0.6875
666,120,32,1,0.03125
667,53,32,22,0.6875
668,3,32,28,0.875
669,132,32,32,1.0
670,4,32,27,0.84375
671,4,32,12,0.375
672,2,32,1,0.03125
673,9,32,32,1.0
674,12,32,29,0.90625
675,33,32,0,0.0
676,240,32,6,0.1875
677,36,32,25,0.78125
678,120,32,32,1.0
679,576,32,24,0.75
680,20,32,14,0.4375
681,298,32,0,0.0
682,80,32,22,0.6875
683,50,32,3,0.09375
684,11,32,26,0.8125
685,14,32,31,0.96875
686,80,32,32,1.0
687,13,32,4,0.125
688,100,32,5,0.15625
689,7,32,0,0.0
690,5760,32,4,0.125
691,25,32,6,0.1875
692,32,32,4,0.125
693,68,32,31,0.96875
694,9,32,2,0.0625
695,5,32,17,0.53125
696,145,32,14,0.4375
697,27,32,28,0.875
698,720,32,26,0.8125
699,8,32,30,0.9375
700,135,32,29,0.90625
701,200,32,4,0.125
702,2800,32,12,0.375
703,50,32,21,0.65625
704,50,32,32,1.0
705,120,32,29,0.90625
706,9,32,11,0.34375
707,8,32,5,0.15625
708,168,32,32,1.0
709,3000,32,6,0.1875
710,45,32,22,0.6875
711,6,32,0,0.0
712,14,32,20,0.625
713,576,32,23,0.71875
714,10,32,24,0.75
715,385000,32,7,0.21875
716,770,32,29,0.90625
717,5,32,4,0.125
718,2,32,24,0.75
719,175,32,32,1.0
720,4,32,19,0.59375
721,2450,32,1,0.03125
722,255,32,12,0.375
723,160,32,29,0.90625
724,18,32,3,0.09375
725,25,32,7,0.21875
726,10,32,31,0.96875
727,112,32,10,0.3125
728,40,32,26,0.8125
729,1000,32,1,0.03125
730,8,32,24,0.75
731,1,32,25,0.78125
732,87,32,31,0.96875
733,5,32,26,0.8125
734,17,32,29,0.90625
735,50,32,28,0.875
736,3,32,20,0.625
737,2,32,31,0.96875
738,4,32,32,1.0
739,98,32,13,0.40625
740,25,32,17,0.53125
741,28,32,30,0.9375
742,24,32,27,0.84375
743,8,32,29,0.90625
744,4,32,29,0.90625
745,1100,32,6,0.1875
746,28,32,30,0.9375
747,350,32,25,0.78125
748,336,32,23,0.71875
749,3,32,0,0.0
750,4000,32,5,0.15625
751,43,32,14,0.4375
752,240,32,1,0.03125
753,128,32,15,0.46875
754,89,32,0,0.0
755,7,32,21,0.65625
756,22,32,32,1.0
757,75,32,31,0.96875
758,133,32,27,0.84375
759,60000,32,17,0.53125
760,16,32,23,0.71875
761,27,32,31,0.96875
762,85,32,30,0.9375
763,100,32,7,0.21875
764,14,32,32,1.0
765,490,32,27,0.84375
766,12,32,32,1.0
767,60,32,30,0.9375
768,675,32,0,0.0
769,110,32,10,0.3125
770,4,32,3,0.09375
771,3,32,22,0.6875
772,50,32,24,0.75
773,10,32,31,0.96875
774,10,32,26,0.8125
775,276,32,28,0.875
776,800,32,28,0.875
777,4400,32,0,0.0
778,38,32,27,0.84375
779,255,32,0,0.0
780,25,32,0,0.0
781,17,32,0,0.0
782,54,32,0,0.0
783,4,32,1,0.03125
784,15,32,0,0.0
785,155,32,8,0.25
786,142,32,32,1.0
787,25,32,18,0.5625
788,100,32,17,0.53125
789,4,32,21,0.65625
790,108,32,0,0.0
791,100,32,23,0.71875
792,75,32,31,0.96875
793,250,32,22,0.6875
794,32,32,32,1.0
795,20,32,25,0.78125
796,2880000,32,0,0.0
797,540,32,31,0.96875
798,20,32,7,0.21875
799,4,32,32,1.0
800,428,32,31,0.96875
801,1240,32,23,0.71875
802,6,32,16,0.5
803,9,32,24,0.75
804,20,32,21,0.65625
805,1170,32,6,0.1875
806,70,32,4,0.125
807,4,32,12,0.375
808,12,32,15,0.46875
809,50,32,21,0.65625
810,310,32,6,0.1875
811,60,32,24,0.75
812,79,32,2,0.0625
813,7,32,6,0.1875
814,11,32,0,0.0
815,4,32,7,0.21875
816,4500,32,26,0.8125
817,15,32,18,0.5625
818,16,32,1,0.03125
819,6250,32,0,0.0
820,720,32,32,1.0
821,35,32,7,0.21875
822,1260,32,18,0.5625
823,14,32,1,0.03125
824,52,32,31,0.96875
825,153,32,20,0.625
826,27,32,30,0.9375
827,11,32,1,0.03125
828,60,32,30,0.9375
829,14000,32,0,0.0
830,1128,32,8,0.25
831,324,32,1,0.03125
832,42,32,10,0.3125
833,40,32,31,0.96875
834,80,32,13,0.40625
835,48,32,0,0.0
836,140,32,28,0.875
837,120,32,0,0.0
838,15,32,32,1.0
839,2,32,27,0.84375
840,16,32,8,0.25
841,5600,32,15,0.46875
842,10,32,30,0.9375
843,19,32,29,0.90625
844,180,32,6,0.1875
845,12,32,23,0.71875
846,11,32,17,0.53125
847,975,32,5,0.15625
848,10,32,26,0.8125
849,75,32,30,0.9375
850,70,32,31,0.96875
851,110,32,27,0.84375
852,123,32,26,0.8125
853,15,32,31,0.96875
854,144,32,4,0.125
855,13,32,1,0.03125
856,7,32,24,0.75
857,14000,32,14,0.4375
858,3430,32,0,0.0
859,1520,32,18,0.5625
860,3,32,22,0.6875
861,30,32,7,0.21875
862,40,32,27,0.84375
863,110,32,1,0.03125
864,80,32,4,0.125
865,23,32,32,1.0
866,28,32,17,0.53125
867,7,32,32,1.0
868,15,32,22,0.6875
869,500,32,29,0.90625
870,40,32,16,0.5
871,48,32,9,0.28125
872,13,32,7,0.21875
873,12,32,2,0.0625
874,132,32,30,0.9375
875,60,32,32,1.0
876,41,32,17,0.53125
877,7000,32,6,0.1875
878,5,32,8,0.25
879,575,32,31,0.96875
880,10,32,16,0.5
881,16,32,29,0.90625
882,5,32,22,0.6875
883,25,32,10,0.3125
884,50,32,31,0.96875
885,500,32,30,0.9375
886,20,32,19,0.59375
887,34,32,32,1.0
888,10,32,0,0.0
889,15,32,32,1.0
890,25,32,21,0.65625
891,55,32,28,0.875
892,1,32,26,0.8125
893,480,32,25,0.78125
894,26,32,0,0.0
895,74,32,29,0.90625
896,250,32,30,0.9375
897,1,32,30,0.9375
898,110,32,26,0.8125
899,16,32,21,0.65625
900,15,32,11,0.34375
901,1,32,1,0.03125
902,8,32,0,0.0
903,16,32,27,0.84375
904,8,32,31,0.96875
905,5,32,24,0.75
906,10,32,9,0.28125
907,16,32,31,0.96875
908,14,32,29,0.90625
909,38,32,26,0.8125
910,700,32,30,0.9375
911,64,32,28,0.875
912,6,32,25,0.78125
913,6,32,26,0.8125
914,3,32,30,0.9375
915,23,32,31,0.96875
916,14,32,7,0.21875
917,12,32,27,0.84375
918,56,32,32,1.0
919,90,32,8,0.25
920,47,32,32,1.0
921,4,32,28,0.875
922,60,32,4,0.125
923,2,32,3,0.09375
924,12,32,13,0.40625
925,2000,32,1,0.03125
926,1,32,0,0.0
927,85000,32,1,0.03125
928,60,32,18,0.5625
929,60,32,31,0.96875
930,14,32,32,1.0
931,50,32,0,0.0
932,24,32,3,0.09375
933,15,32,25,0.78125
934,410,32,32,1.0
935,64800,32,4,0.125
936,250,32,0,0.0
937,159,32,27,0.84375
938,4,32,20,0.625
939,650,32,26,0.8125
940,280,32,5,0.15625
941,842,32,11,0.34375
942,205,32,1,0.03125
943,50,32,0,0.0
944,34,32,25,0.78125
945,17,32,21,0.65625
946,450,32,31,0.96875
947,13,32,32,1.0
948,15,32,15,0.46875
949,42,32,32,1.0
950,5,32,13,0.40625
951,300,32,0,0.0
952,360,32,1,0.03125
953,452,32,0,0.0
954,34,32,16,0.5
955,100,32,11,0.34375
956,1,32,17,0.53125
957,45,32,31,0.96875
958,40,32,14,0.4375
959,7,32,7,0.21875
960,11,32,0,0.0
961,225,32,0,0.0
962,1000,32,21,0.65625
963,147,32,10,0.3125
964,200,32,25,0.78125
965,374,32,1,0.03125
966,48,32,25,0.78125
967,30,32,26,0.8125
968,227,32,32,1.0
969,1800,32,12,0.375
970,33,32,26,0.8125
971,100,32,21,0.65625
972,120,32,1,0.03125
973,79,32,6,0.1875
974,5,32,30,0.9375
975,20,32,23,0.71875
976,540,32,0,0.0
977,4,32,32,1.0
978,160,32,20,0.625
979,50,32,4,0.125
980,90,32,32,1.0
981,7,32,32,1.0
982,12,32,2,0.0625
983,15,32,21,0.65625
984,342,32,0,0.0
985,63,32,32,1.0
986,70,32,22,0.6875
987,3,32,11,0.34375
988,6,32,25,0.78125
989,45,32,1,0.03125
990,14,32,5,0.15625
991,15,32,2,0.0625
992,52,32,13,0.40625
993,11,32,11,0.34375
994,2,32,32,1.0
995,12,32,1,0.03125
996,3,32,11,0.34375
997,6600,32,0,0.0
998,50,32,32,1.0
999,25,32,8,0.25
1000,1,32,9,0.28125
1001,2,32,1,0.03125
1002,8,32,30,0.9375
1003,480,32,0,0.0
1004,8,32,23,0.71875
1005,1490,32,5,0.15625
1006,826,32,13,0.40625
1007,34,32,29,0.90625
1008,230,32,32,1.0
1009,1875,32,0,0.0
1010,5,32,27,0.84375
1011,6000,32,1,0.03125
1012,94,32,0,0.0
1013,2,32,23,0.71875
1014,3,32,1,0.03125
1015,78,32,26,0.8125
1016,138,32,0,0.0
1017,45,32,2,0.0625
1018,60,32,17,0.53125
1019,98,32,0,0.0
1020,22,32,32,1.0
1021,36,32,11,0.34375
1022,12,32,22,0.6875
1023,77,32,32,1.0
1024,300,32,32,1.0
1025,30,32,6,0.1875
1026,43200,32,12,0.375
1027,12,32,19,0.59375
1028,200,32,19,0.59375
1029,34,32,2,0.0625
1030,24,32,0,0.0
1031,5,32,0,0.0
1032,450,32,8,0.25
1033,2,32,7,0.21875
1034,66,32,24,0.75
1035,35,32,16,0.5
1036,10,32,21,0.65625
1037,10,32,28,0.875
1038,4,32,2,0.0625
1039,160,32,19,0.59375
1040,736,32,6,0.1875
1041,101,32,15,0.46875
1042,3,32,1,0.03125
1043,130000,32,13,0.40625
1044,1,32,28,0.875
1045,420,32,23,0.71875
1046,189,32,3,0.09375
1047,10,32,20,0.625
1048,7400,32,0,0.0
1049,20,32,29,0.90625
1050,655,32,8,0.25
1051,15,32,27,0.84375
1052,110,32,11,0.34375
1053,55,32,16,0.5
1054,2400,32,32,1.0
1055,2304,32,18,0.5625
1056,156,32,3,0.09375
1057,24,32,23,0.71875
1058,250,32,7,0.21875
1059,2,32,25,0.78125
1060,31,32,4,0.125
1061,58,32,31,0.96875
1062,482,32,27,0.84375
1063,320,32,30,0.9375
1064,247,32,21,0.65625
1065,95,32,30,0.9375
1066,14,32,29,0.90625
1067,245,32,18,0.5625
1068,24,32,1,0.03125
1069,300,32,0,0.0
1070,18,32,0,0.0
1071,251,32,15,0.46875
1072,85,32,31,0.96875
1073,21,32,5,0.15625
1074,750,32,23,0.71875
1075,16,32,0,0.0
1076,162,32,18,0.5625
1077,145,32,0,0.0
1078,8,32,27,0.84375
1079,10,32,7,0.21875
1080,72000,32,2,0.0625
1081,195,32,17,0.53125
1082,2,32,2,0.0625
1083,2,32,16,0.5
1084,20,32,4,0.125
1085,26,32,31,0.96875
1086,131250,32,0,0.0
1087,12,32,5,0.15625
1088,30,32,0,0.0
