track,question_idx,mean_similarity,std_similarity,n_pairs
B,142,0.9402342438697815,0.059072136878967285,496
B,146,0.9442890286445618,0.059000931680202484,496
B,161,1.0,0.0,496
B,163,0.7661359906196594,0.17516130208969116,496
B,178,1.0,0.0,496
B,189,0.9122826457023621,0.09119807928800583,496
B,191,0.9744088053703308,0.04738563671708107,496
B,198,0.8531790375709534,0.12848833203315735,496
B,206,0.9822962284088135,0.047288987785577774,496
B,209,0.9194773435592651,0.06905919313430786,496
B,228,0.9776093363761902,0.05990390479564667,496
B,255,0.9800987839698792,0.05322685465216637,496
B,285,0.9999999403953552,5.960464477539063e-08,496
B,292,0.9501065611839294,0.05307942256331444,496
B,318,0.9885376691818237,0.044393256306648254,496
B,326,0.9507841467857361,0.11666552722454071,496
B,333,0.9465234875679016,0.08628679066896439,496
B,334,1.0,0.0,496
B,350,0.8083716630935669,0.17557218670845032,496
B,393,0.984539806842804,0.036838434636592865,496
B,407,0.9490936994552612,0.04961986467242241,496
B,429,0.9999999403953552,0.0,496
B,432,0.9959691166877747,0.015611990354955196,496
B,435,0.9835172295570374,0.06383741647005081,496
B,440,1.0,0.0,496
B,447,0.9792732000350952,0.0802745372056961,496
B,449,0.9783637523651123,0.08379697799682617,496
B,451,0.9425549507141113,0.05240263789892197,496
B,457,1.0,0.0,496
B,466,0.8696541786193848,0.11104066669940948,496
B,469,1.0,0.0,496
B,476,1.0,0.0,496
B,501,1.0000001192092896,0.0,496
B,505,0.8145602941513062,0.17738184332847595,496
B,538,1.0000001192092896,0.0,496
B,541,0.8617811799049377,0.11661602556705475,496
B,542,0.971759557723999,0.04376238211989403,496
B,546,0.8547684550285339,0.10624762624502182,496
B,548,0.910285234451294,0.10600519180297852,496
B,552,0.8768669366836548,0.0746118426322937,496
B,563,0.8977764844894409,0.10866772383451462,496
B,569,0.9999999403953552,5.960464477539063e-08,496
B,592,0.8432906866073608,0.10541494935750961,496
B,600,0.9040651917457581,0.14127285778522491,496
B,644,0.8895149230957031,0.11426714062690735,496
B,646,1.0000001192092896,0.0,496
B,664,1.0,0.0,496
B,689,0.8934696316719055,0.09993371367454529,496
B,696,0.9691249132156372,0.0565723292529583,496
B,704,0.9684408903121948,0.04659107327461243,496
B,727,0.9056947827339172,0.12230153381824493,496
B,735,1.0,0.0,496
B,740,0.9842451214790344,0.061018191277980804,496
B,747,0.9775282740592957,0.036931362003088,496
B,758,0.9844182729721069,0.03378446400165558,496
B,775,0.9999999403953552,1.1920928955078125e-07,496
B,777,0.8276728987693787,0.13098914921283722,496
B,778,0.9333708882331848,0.08864516019821167,496
B,810,0.9478453993797302,0.08259451389312744,496
B,821,0.8515392541885376,0.18498505651950836,496
B,859,0.8536068797111511,0.18170276284217834,496
B,864,0.940660834312439,0.08760278671979904,496
B,865,1.0,0.0,496
B,919,0.9204372763633728,0.081419937312603,496
B,928,0.9622904062271118,0.08799710124731064,496
B,939,0.9999999403953552,5.960464477539063e-08,496
B,940,0.9966214895248413,0.013084855861961842,496
B,946,1.0,0.0,496
B,1022,0.9531936645507812,0.1260574460029602,496
B,1034,0.895271360874176,0.10676717013120651,496
B,1093,0.9886879324913025,0.03049350343644619,496
B,1098,0.9461553692817688,0.09970099478960037,496
B,1103,0.9366682171821594,0.14500604569911957,496
B,1116,1.0000001192092896,0.0,496
B,1130,0.969245433807373,0.09186996519565582,496
B,1140,0.8833690881729126,0.163591206073761,496
B,1149,0.9559222459793091,0.049529172480106354,496
B,1161,0.8452849984169006,0.11807166785001755,496
B,1182,0.9398276209831238,0.08796823769807816,496
B,1206,0.8819946646690369,0.09087543934583664,496
B,1209,0.9513490200042725,0.07182382047176361,496
B,1232,0.9999999403953552,0.0,496
B,1236,0.9711733460426331,0.11164525896310806,496
B,1247,0.888595461845398,0.10404057055711746,496
B,1266,0.9917818903923035,0.031828343868255615,496
B,1287,0.9859791398048401,0.05430234223604202,496
B,1300,0.9219352602958679,0.07802028208971024,496
B,1301,0.7455955743789673,0.18423418700695038,496
B,1309,0.9293718934059143,0.06741413474082947,496
B,1310,0.7703779935836792,0.19490782916545868,496
B,1316,0.8969565629959106,0.07576479762792587,496
